listing_id,comments
11,"As described. Quiet location.; Best place to stay on the Hollywood Broadwalk Very attentive host Great little space!; Bill made us feel very connected and easy to ask questions about what was to come.; Casa del Sol was perfect for our multi-generational vacation. Our daughter, her husband and their five children had one end of the house, our son, his wife, and baby had a room and my husband and I enjoyed the master. Great-grandpa lives just a few blo; Chris, I and my famliy have enjoied a lot our days at your place.Great local with a wonderful beach.Hope to go back there soon.Thank you.; Clean room close to airport beautiful pool and jum was very friendly great price definitely would go back; Denise was a great host, her house and location was perfect for our vacation. The home was clean and the back yard was perfect for entertaining guests."
12,"Eric made the whole transaction quite easy. His place is a moderate walk from the center of Wilton Manors. It is a bit rustic, being mostly outdoors as his descriptions accurately describe it. It's an excellent value for the money.; Everything is wonderful"
13,"Everything was just as promised. The apartment was beautiful felt like home. The neighborhood is nice the beach is beautiful we had a great time.Michael Cardell; everything was perfect Nice welcome Well decorated houseWe loved the blue room with a nice vue on the pool area you feel like home in a comfortable atmosphereHassan gave us good advicesWe ll certainly come back!; Excellent amenities including The cleanliness of the home was super Taylor was also very accommodating and his hospitality was top-notch. He even upgraded me to one of his other homes in order for me and my gues The cleanliness of the home was superb Tay; Excellent hosts, very nice house clean and nice. Highly recommend. Gideon; Fatima was a welcoming host who provided us a much needed comfortable """"home away from home"""" when my family was in need. After the death of a family member my siblings and I needed a place to stay with my mom that was comfortable, clean, and provided a se; friendly host and convenient location at an affordable price; Generosity, accommodation and dogs abound!!! I felt like I was visiting the home of an old friend. Maureen was so fun, so sincere and so welcoming.I felt right at home. Loved the comforts. Loved the neighborhood and could not have asked for more.Than"
14,Great property. Very close to the night life as well as the beach. The property itself gives you a secluded feeling as if there isn't a major city a few blocks away. Jim is very helpful and communicates very well for anything that might come up.; Great spot!
15,"Had a wonderful time! We enjoyed the attention to details ...the pots, bowls, fry pans, utensils, small appliances, umbrellas of various sizes, night lights, great wifi and cable, super soft sheets and pillows! All perfect and helped our stay be more enj; Highly recommended. Bill's place is fantastic and he's the best host. If N of Miami is where you want to be don't think twice and book now.; Hollywood FL is great! Thanks Robin for the little house, I had everything i needed to feel like home, the nature is amazing and the bike(VERY USEFULL!!!!) carried me to see the entire city of Miami and surrounding areas!; I didn’t get to meet the owner but she gave great instruction on where the key and studio was located.; I enjoyed the room and the house; it was everything I needed, and it was not far from the restaurant I went to and other things to do. If I am in that area again, I will want to rent that room again.; I had a fantastic stay at Barbra's home she was very attentive and respectful very nice and welcoming person my stay was amazing the house was amazing jus overall Amazing i will most defintely book this place again thank you again for the amazing stay.; I had a very nice day with a very nice family. The bed was cozy, my room and the bathroom were very clean and comfortable, and the family was extremely cordial and kind. Y, se habla Espanol!"
16,I stayed at the cottage last weekend and had a great time the hot tub and the pool are very nice and the cottage has everything you need what was so nice was having hosts that went above and beyond making sure your stay was enjoyable can't wait; It seem like a nice enough neighborhood the place was wonderful the only downfall is it's by a busy street.; John and his wife were very courteous and welcoming .
17,"JUST WOW!!!! Amazing little place with a pool view! Eric was spectacular!!! 5Stars for sure!!; Lorraine And Greg are great hosts and I enjoyed getting to know them. They were very welcoming. The room was very comfortable and I really enjoyed my stay. The neighborhood was quiet and over all with a pleasant atmosphere.; Margarita was very prompt with her communication. This location was really cool and has great value. Highly recommend!; Maria's daughter met us at the door and was delightful and very helpful showing us to our room. The spacious room, on the second floor, has a big window that opens onto a parking area for the housing complex. With the window open, we could hear the trai; Mary is the sweetest person you will ever meet. she made us feel at home. Her house is beautiful and the room was very spacious and comfortable.; Mike and Steve have created a tiny paradise. They are wonderful hosts and their cottage is private, lovely and we felt great staying there. It is a gem.; my husband and I visited Fort Lauderdale with a friend who wish to see his hometown again before his health would no longer permit. we chose Lorraine and Greg's place because it appeared clean and spacious enough for our needs, and was proximal to the"
18,
19,"Nice get away; Really enjoyed the amenities and location of this place. I will definitely rent here again; Samantha was on spot! I had another person cancel on me as I arrived, so I contacted Samantha and she responded within minutes. She is fast!; Samantha was very friendly and responsive by text and phone calls .; Sandra is a very friendly and accommodating host. The room was exactly as described, well appointed with a TV, dresser, full bed, closet and access to a full kitchen... perfect me. Her place is clean and nicely decorated. The unit is in a nice developme; Sansha is a great host! Comfortable, clean, and very good energy all around. Not to mention close to everywhere I needed to go. Highly recommend this place.; Scott and Arturo have a great place! It was just what my boyfriend and I wanted. When we got there Scott greeted us and gave us some great suggestions based off what we wanted to do. Their place was clean, cozy and had everything we needed...even a bot"
20,"Sharon was great Very helpful and quick to respond The condo was exactly as described It was clean and well equipped. It was everything I hoped it would be.; Thank you Lissette for everything! The apartment fitted perfectly to our needs!The room is small, but cozy and has everything you need. It is exactly like in the pictures. I can pick up the comment from Loren: The wifi blocked a lot of normal pages,"
21,"Thank you Very much we were in a situation where we had no place to stay and at the very last minute we were able to book with Lance very smoothly and quickly. The house exceeded our expectations and I would love to stay there again thank you again Lance; The description and photos were an accurate reflection of the property.Fantastic location, allowing access to shops, restaurants, beaches and Las Olas.We were left to enjoy our holiday, spending many happy hours in the heated pool, enjoying the lakesid; The hosts are great, place is clean could not wish for any better; The house is exactly as described and shown in the pictures, 3 great bedrooms, 2 great bathrooms and a full kitchen and lounge.The location was ideal for us, everything we needed in a radius of a few miles.Marco and Amy were great hosts. Amy was very; The house was clean and comfortable. We did that meet Svetlana or the property manager but directions for the lock box and any and everything else were very clear. The property manager knew we were getting into town early that day, before the 4 o'clock; The one thing I can add to what has already been said about what a wonderful place Leila has and what a wonderful host she is:what makes the location so perfect is aside from being steps from the beach, steps from the lovely boardwalk, if you make a lef"
22,"The place is basically a hotel. Check-in was smooth, place was wonderful. Everything advertised was true. Had a great stay and will book again. Thank you very much!; the place was clean and close to everything. Just as described and the host was very friendly.; The place was described accurately. Communication from the host was awesome. The place looked just like the pictures. this appears to be an older house so if you're looking for something modern please do not go. But the price was great and it was clean; The property was exactly as listed. Close proximity to downtown, the beach, airport and Miami if you chose to take a day trip. Matthew was very prompt with responses.; The room was perfect for what I was looking for. Was there for business and needed something close, clean and quiet. Magaly was warm and friendly. I definitely would recommend the room to others.; This house is wonderful. Kenneth made us feel welcome even though he is halfway around the world. The house was even better than the pictures. The furnishings and amenities were first class. More than enough room for the eight of us and enough seating; This place was exactly what I needed it: a cozy place to stay with all while I settled for my new job. The neighborhood is quiet and welcoming. Lissette was very helpful and understanding and answered all my requests. Moving back to US after working abro"
23,
24,"This property is professionally managed and maintained. The kitchen was very well equipped and the linens hotel quality. The location is very good, 2 blocks from the beach. We were bale to watch the fireworks from our balcony. I would recommend this loca; This was my first experience using Airbnb. I wasn't sure what to expect, but was very happy with my room and the use of the kitchen, the screened in lanai and the beautiful back yard with a gorgeous pool. My room was very clean, and the bathroom was; This was our first time using AirBnb AND unfamiliar with Hollywood beach so we were skeptical and weary of the whole process. After reading all of past guests' gleaming reviews of not only the place but Leila herself, we felt so comfortable reaching out.; Veronica and Jay once again were very cordial with a Greeting and easy feeling like it`s your second home. The location is ideal for us as the Beach is about 5 mins down Atlantic Ave. Also we see our family Dentist close by. Everything you could t; Veronica and jay were amazing hosts. They greeted me and my boyfriend when we first arrived, gave us tips, and we're even generous enough to offer us mangos from their tree (which were delicious!). The guest house is fully equipped and had everything we; Very clean and cozy and nice neighborhood Just was perfect felt like Home; Very lovely place to stay thats close to lots of great restaurants. Would definitely stay here again!"
25,"was really kind.This is my 1st airbnb stay but the place was really great.comfortable,pleasant,accommodating.closed downtown(by bus).i'd like to stay there again.it was good:)"
26,"Was truly an awesome stay. Can only recommend; We had a great time staying at Vera's apartment. It was really clean, comfortable and great neighbourhood. Vera was really welcoming and helpful. She even had a beach umbrella we could use for when we went to the beach! I would hight recommend staying he; We loved our visit, Lorraine and Greg are excellent hosts. They help make our stay extremely enjoyable and very comfortable. My wife and I were first timers to Airbnb and we will definitely be back to visit Lorraine & Greg; We read such great things about raining Greg and they were all true. The place was just perfect for us, and Lorraine and Greg were amazing. They were very communicative, as this was our first Airbnb stay. I think we have been spoiled. Check this place o; We really had a great time at this place! We really enjoyed the European nature of the apartment and appreciated all the amenities it came with, as well as its central location and beautiful neighborhood. The hosts are very friendly, respectful and comm; We truly enjoyed our stay. It was a peaceful location, and it was centrally located to the areas we wanted to visit. The house was very clean, equipped with anything and everything one might need and the owner was sure to check in and see if we needed; We were a family of 6 who traveled from Toronto, Canada. Our host Jon picked us and dropped us to the airport which we much appreciated. The apartment was clean and was exactly as described in the AIRBNB web site. The apartment location is central ,"
27,"What a wonderful place to stay! The space is really nice, nice bedroom, great private bath, large closet, and we made daily use of the wonderful outdoor kitchen with Stove and grill and sink and refrigerator. There are very nice walking trails between; Yes he made me feel like I was at home. The house was real nice and love the neighborhood; -Alfredo always responded in a reasonable amount of time when contacted-Beds were very comfortable-Pics are a bit outdated. -Outdoor sitting area is not near as nice as it looks, waterway looked more like a swamp and the air conditioner is right next t; -Awesome location. Very nice pool onsite (with towel service) and minutes walk from Hallandale beach. A free Shuttle is available every 10 minutes to the beach as well. -Free shuttle service (3-4 times in a day) to and from Aventura mall, the casino, and; :) very welcoming; ... nice apartment, great location, both for business trips and holidays. Direct beach access is a real bonus. Easy check-in / check-out.; .... and the Oscar for the """"paradise"""" goes to Carlos and Frank!Take the time to view each of the photos. This listing is truly a beautiful oasis. The suite is ultra clean, comfortable, quiet and private. The queen bed was very comfortable. The bathroom"
28,
29,
30,"....Honestly we were nervous on what we would actually be walking into & staying while on our girls vacay in Miami during Labor Day & Hurricane Dorian Wknd.....Dan’s house was PERFECT!!House was Cleaned (& we r very attentive too cleanliness)... very; """"Boat house"""" is a decor description. The house is cozy and clean. The other guests were friendly and mutually respectful. Pool is not heated but being from Boston refreshing. Perfect for our brief one night layover.; """"check in"""" was easy as the residence uses coded locks, so we didn't have to worry about timing. The """"cool pool house"""" was exactly as described. I happened to meet Venessa as she was showing a room to another guest. She was a great hostess, and showed u; """"cute villa"""" was as described. location was great.. short walk to beach and all restaurant/bar/club area. beautiful beach, nice pool and park with tennis courts a block away. Julieta was extremely friendly and accommodating. Would like to go for a longer; """"Florida cabin"""" delighted us with quiet nights, a private patio to drink our tea and Whole Foods within easy walking distance. The beaches of North Fort Lauderdale are just minutes away by car. Great kitchen and laundry. I hope to return!; """"Gypsy"""" the gorgeous teacup Yorkie greeted us when we first arrived, Leo's place was easy to find and conveniently located from the airport and the Wilton Manor area which has a selection of fantastic restuarants. Leo was a gracious host and made us both; """"Not at all good, bad and dirt!!! (Pool was so dirt) the whole house was not the home that is show on Airbnb what i have rented!* at all ,The pan where dirt and burn,plastic to cook with wish was not clean at all.We also could not come till two hours late"
31,
32,"""""The Garden"""" is an oasis in sunny Fort Lauderdale. The apartment was very clean, stylish and convenient to the local supermarket, Walgreens and a rental car agency. The host Matt is great! He was very responsive and answered all our questions, and prov; (english first, see GERMAN below!) Staying at Lorraine & Greg is like staying at friends. We felt so warmly and heartly wellcome as we'd knew each other since years. Our room was professional self renovated and perfectly cleaned. We sat sometimes to; (Website hidden by Airbnb) G!; (Website hidden by Airbnb) place to stay!!! My husband and I LOVED Kevin’s place for our 1 year anniversary!!! Everything was perfect and exactly like the pictures. We has NO problems and Kevin responded so quickly to questions.; @nd time I've stayed here. Just as neat, clean and comfortable as before.; * Listing was accurate.* Host Jason was always prompt in replying to communications.* Jason accommodated our schedule even though it was outside his normal booking objectives.* Location is good. Walk to restaurants and a large retailer for most anyt; ***BEWARE*** This place is a dumpy old run down hotel. The ONLY positive (and I use that loosely) thing about our stay was that it is right on the beach. We stayed in room 773. We were told by staff that Sergio owns a room on the 4th floor, however manage"
33,"*FOLKS*It's exactly as pictured/described and much better in person!!! Very Private, Tropical, Clean and Relaxing. Easy check in and we met Mr. Kevin and Mr. Steve who both were very kind to us and offered excellent suggestions of places to eat around; *light sleepers*security noteIf you are a light sleeper bring an eye-mask and ear plugs as the Red Room has a (locked) door to the shared bathroom. This means that anyone's sounds of using the restroom during the night or morning is heard crystal c; + quiet area+ clean room+ fridgeNo-brainer to stay there!; > We truly enjoyed the 2 delightful months we spent on Hayes Street. First ,Paul greeted us as scheduled and proudly showed us around mentioning that he had just put in a brand new ceramic tile floor in the kitchen ,dining room and living room which in ou; 000This was my family's first stay using Air BnB. I was initially out of my comfort zone because it was a change in our family travel style. I was very happy with our accommodations. We stayed in the attached room on the side of Bill's house. It was l; 1 of the BEST AirB&B experiences I ever had!!!; 1) Excellent people. Most caring.2) Well informed. Very helpful.3) Warm, homely environment. 4) Was my first time to use airbnb and perfect stay to start with."
34,"1/2 block from toes hitting the beach. Close to everything on the Broadwalk like shops, rentals, all kinds of food and etc....Convenience store and restaurants on the same block but very quiet. Cute place that is perfect for a solo or couple. $12-15 Uber; 10 min drive to beach n 5min drive to restaurants; 10 minute walk to the beach, very comfortable stay!; 10 stars across the board! The BEST AIRBNB EXPERIENCE I HAVE EVER HAD! Carlos/Frank were efficient, friendly and catering. The space is immaculate and instantly feels like home. The studio is fully updated and the view with the pool is breathtaking. My bf; 10 stars great service and nice cozy location; 10 women traveled to Ft. Lauderdale to celebrate a bachelorette! The house is located walking distance to the beach, restaurants, bars and shopping! No need for a car rental! Our hosts, Lauren and Lisa, were most gracious, friendly and easily accessibl; 10/10 awesome place"
35,"10/10 better than staying at a hotel!; 10/10 recommend this location, host and area. The beach was less than a block from the condo and the grocery store was just over the bridge. Definitely will visit again in the future!; 10/10 would recommend; 10/10 would recommend! Location is only 1.5 miles from the beach and is across the street from a Publix so it’s a win win! The hosts are the nicest couple and make the experience that much more enjoyable. If I find myself going back to Hollywood Beach/; 100 % satisfied. Bill's house is great and always clean, looking exactly as in the pictures. Bill is also very welcoming and easy going host. Definitely recommend!; 100% A+++ recommended. Marco is a wonderful host, the backyard is heaven with a pool, hot tub, wonderful landscaping, and all sorts of spaces to relax. He included snacks, a little kitchenette, local tips, even shared his Netflix account. Convenient to th; 100% one of the best choice near Miami, great place, nice room and the best reception.Tks a lot Mike and Tom.... I hope come back soon"
36,"100% recomended, we come back soon. Thanks aaron; 100% Recommend Valvara's place. Stayed here for a week and had a great time. The pool is a very nice plus; 100% recommend ! Perfect; 100% recommend, the best experience, the best service.. the pool and the BBQ zone is beautiful... Mark was a really kind person ....; 100% would recommend; 1000% will be returning. Pat & Michelle were SO quick to respond with any questions which was so nice! The cute cottage was so much better than I expected - you could literally see the beach from the front door of the house and it only took about 60 secon; 11/10 would recommend. Cute place, great location and very quiet"
37,"15 of us stayed at this home for 6 nights. Everything was as advertised, the home was stylish, clean and comfortable. We had minor unforeseen issues, but the owner was extremely communicative and responsive to our requests. I would definitely stay at anot; 15-minute walk from the Ft. Lauderdale Convention Center, suitable to stay before meeting or exam there. Jim is a warm holder with creativity for the decoration, and you may got surprise there!; 1st time Airbnb user, couldn't ask for a better rental. Amazing location, easily accessible to great restaurants, shopping and most importantly, close and easy access to the beach!!!; 2 friends and I stayed with Delene in December 2014. Delene was extremely delightful to stay with. She and her daughter were welcoming when we arrived, helpful in suggesting activities and generally made us feel at home. Delene also made the effor; 2 minutes walk to the beach; 2 much !!; 2 of us friends stayed at the condo for a month to check out snow birding and loved our home away from home! The balcony was really wonderful. Super stylish and cozy.Everything we needed."
38,"2 thumbs up for these superhosts! They were very helpful in every way. The pool and patio area is a beautiful amenity. The neighborhood is quiet and walking distance to popular eateries. I highly recommend.; 27th floor view of the inrercoastal. Sunrise are amazing; 2nd stay at Sheila's place. And we will return again. Sheila has great customer service and the unit is close to shopping, restaurants and nightlife.; 2nd stay with Sammy in 2 months...always perfect...traveling from Iowa, it’s our home away from home.; 2nd time staying at Allen property, great place!; 2nd time staying here and once again it was a very good experience.; 2nd time staying on one of Asi's properties. Good Stay Great Price. Room is as described. It's a More Afforable approach then staying at a hotel. Simple, Clean and Safe."
39,"2nd time staying with Lubo and Arthur. Perfect as expected. My boyfriend and I loved how clean, welcoming and cozy the place was. When my friends and family come and visit me and need a place to stay I will send them to Lubo and Arthur!; 2nd time we stayed there. Love the location at the quiet end of the boardwalk and love the private patio for getting out of the wind. We’ll be back.; 2nd visit back to this property... always a simple process and Chris very responsive to messages. Property is in such a good location and is spacious and well maintained. strong recommend.; 2nd year in a row renting through Luis...thanks and hope to see you in 2019 again!; 3 families traveling together. Total of 10 people. House never felt crowded. The teenagers lover the pool. Had everything we wanted and needed. Nice area, easy walking distanse to beach.; 3 great days !!Raazee make us fell very comfortable at his place.Nice neighborhood , very secure.Great new pool .Will be there again for sure!Tks for all Raazee.BestFRED &ANGELICA; 3 wonderful days at Sandy and Ed's appartment. The appartment is very clean and very well located. We received a heartwarming welcome !!! Thans a lot for your kindness !"
40,"3 words: Attention to detail! This place truly has everything a couple needs to relax and enjoy the Florida weather. From the tiki hut equipped with day bed, mosquito net, water misters, and netflix ready flat screen, to the koi pond with relaxing wate; 3/5 due to an emergency the last person had in the airbnb, the place wasnt properly clean and in place so we had to go out while Eric was cleaning the place. It has a great location. Pool was dirty.; 3rd stay and everything was as great as the 1st (and 2nd)! We even brought the kids along this time. They loved it! My oldest is determined to be an Airbnb host when he gets his own home! Dinner was phenomenal and we enjoyed meeting some guests staying in"
41,"4145 By the Sea was an amazing value for the location and amenities! A two minute walk to the beach (if you are excited to get to the beach!), no longer than five minutes. You could literally see the ocean from the parking lot. About an eight minute walk; 5 minutes away from the Fort Lauderdale airport. Great place to stay before a trip. The bed is extremely comfortable. We had great night rest after a 10 hour flight from Spain before getting on a plane again the next morning. The room smelled fresh and cl; 5 minutes from downtown and the beach. Quiet and safe neighborhood. Stylish home and very spacious. Communication with John was quick/clear. Would recommend to anyone looking to have a comfortable stay in Ft. Lauderdale!; 5 of us stayed at this airbnb. We all loved the house. It was raining so we did not fully get to enjoy the pool or outside. The host responds very fast. The place was clean and as described. Close to major highways. Will recommend for groups.; 5 out of 5 stars. Quick response, exactly as described, friendly service, and a better location than anticipated. If you have never used a bnb, Jim's place sets the bar.; 5 Star all around, truly an amazing property. Just as seeing in pictures, this is a great find and a true gem! Def. best airbnb ever stayed in.; 5 star experience w/ Allen!!!Allen was great to work with. Room and hotel just as described (even better than expected). Great location with nice amenities, right by the beach, and walking distance to shops & many restaurants.Allen was easy to get"
42,"5 Star hosts; 5 stars across the board! The most accommodating host a guest could ask for. We loved an appreciated every little detail and thought that you put into our stay and will forever be grateful for making it feel like our home away from home. Fully ready to mo; 5 Stars all around! Beautiful home, beautiful hosts. Dolores and husband made me feel right at home and opened up there entire home to me. Great layout as well. Everything is exactly as pictured. Attention to detail= wonderful experience. I 100% recom; 5 stars all way; 5 stars and then some...great location; 5 stars as a modern room.I recommend it to a any travelers. The place is very clean.; 5 stars does not do this house justice. Don't waste your time with other rentals. Hosts are outstanding, house is immaculate and has everything you need. Great outdoor space with grill, all of the little things were provided. Will definitely be back."
43,"5 stars! magnificent home. Clean, gorgeous, practical and in a fabulous area. Truly a vacation stay. It more than matches the pics. Fabulous pool, lighted and nice. The is beautiful ad spacious. Highly recommended!; 5 Stars! We stayed at Cindy’s place for a soccer game at Hard Rocks Stadium. It was a perfect location to stay at, and it was very clean! Highly recommend.; 5 stars!! My boyfriend and I stayed here for 5 nights. The space is a modern gem! Kitchen is perfect for making light meals. Shower was very spacious and had good water pressure. We were pleasantly surprised by how comfortable pull out sofa was. We though; 5 stars. What a great, intimate and cozy hideaway in FLL. Ana and her house manager we’re great and responsive. I will be back.; 5 starts outstanding host and location - I will be coming back; 5+ stars. Great space and well appointed with some very nice added touches from the hosts. Would be very happy to stay again on my next visit.; 50% of the view is blocked by new construction!"
44,"500 words it's not enough to describe the perfect service , location hospitality attention to detail......Magnificent; 5�?�? Amazing views.. I really enjoyed my stay here, highly recommended! I myself will definitely be returning in the near future.; 5star experience to say the least. Would use this location every time I am in Fl if possible.; 6 week stay was great, very nice host and space. Private entrance with AC, Chromecast, comfortable bed, nice size bathroom with slide door, nice kitchenette and designated parking on left side plus safe, quiet neighborhood. 15 min from Hollywood Beach, 30; 7 of us decided that we needed a relaxing weekend of R&R and spent our time at the """"Decadent Oasis"""" in Hollywood. It was everything we could have hoped for - clean, organized and hospitable with a beautiful pool, hot tub and grilling area. We cooked, we s; 7 out of 5 stars.; 7 STAR HOST...Simply the best stay yet out of three.Love Lisa!"
