Cliente,Recencia,Frecuencia,Monto,Sexo,GSE,Edad
346,3,7,27.78,MAS,C3,79
347,3,5,16.502,MAS,C2,71
348,8,1,14.162,MAS,C3,77
349,5,3,16.492,FEM,C3,79
350,1,11,22.841,FEM,C3,75
351,12,1,16.798,MAS,D,73
353,1,8,34.638,FEM,C3,78
354,6,1,9.992,MAS,C2,78
355,1,2,51.209,MAS,C3,80
356,6,3,8.766,MAS,E,78
357,1,3,9.077,MAS,ABC1,79
358,1,8,22.985,MAS,C3,79
359,3,5,9.467,MAS,D,81
360,1,9,17.22,MAS,C3,78
361,1,10,30.375,MAS,C3,77
362,1,4,13.208,MAS,D,78
363,5,1,3.605,FEM,E,78
364,1,10,86.957,MAS,D,80
365,4,5,18.699,FEM,D,75
366,3,4,32.669,MAS,ABC1,79
367,2,7,7.37,FEM,C3,76
368,1,11,21.63,MAS,D,77
369,1,3,6.025,MAS,C3,74
370,3,1,5.017,FEM,C3,77
371,6,2,23.622,MAS,C3,79
372,1,3,27.882,MAS,ABC1,75
373,1,1,2.889,MAS,D,75
374,7,1,31.168,FEM,D,71
375,1,4,6.294,FEM,C3,80
376,1,4,19.87,FEM,ABC1,76
377,3,3,16.055,FEM,E,84
378,1,2,2.046,FEM,C3,80
379,5,3,13.08,FEM,D,79
380,1,12,111.303,MAS,C3,77
381,5,3,10.485,MAS,D,76
382,1,2,7.272,MAS,E,77
383,4,2,4.744,MAS,D,74
384,1,4,7.498,FEM,E,76
385,1,12,47.705,MAS,C3,76
386,6,1,10.492,MAS,D,72
387,1,5,38.182,MAS,C3,75
388,1,3,22.637,MAS,D,78
389,4,3,20.285,MAS,C3,72
390,4,2,1.124,MAS,D,75
391,8,1,0.555,FEM,C3,73
392,1,9,28.517,FEM,C3,77
393,1,8,20.575,FEM,C3,74
394,1,7,12.893,FEM,C3,78
395,4,2,9.531,MAS,E,76
396,1,12,24.016,MAS,D,74
397,1,11,55.38,FEM,D,73
398,8,2,13.464,FEM,C3,83
399,7,1,36.54,MAS,ABC1,79
400,3,1,3.008,MAS,D,73
401,1,6,29.146,FEM,C3,76
402,2,4,11.083,MAS,C3,74
403,1,4,2.91,FEM,D,79
404,10,1,12.846,FEM,C3,78
405,12,1,3.286,MAS,C3,77
406,1,1,1.606,MAS,C3,74
407,1,10,11.497,MAS,D,77
408,1,12,52.536,MAS,C2,75
409,1,4,20.418,MAS,D,77
410,4,2,9.339,MAS,C3,77
411,6,3,6.23,MAS,C3,73
412,1,8,17.947,FEM,D,77
413,1,11,27.586,FEM,ABC1,78
414,12,1,1.563,FEM,D,78
415,1,5,18.804,MAS,C2,72
416,1,9,15.349,FEM,C3,78
417,1,5,21.873,FEM,C3,78
418,1,12,59.069,FEM,C3,79
419,2,2,3.423,FEM,C3,78
420,6,4,12.712,FEM,C3,78
421,2,3,6.396,MAS,E,73
423,1,10,34.582,FEM,D,77
424,10,1,39.206,MAS,ABC1,70
425,1,3,5.212,MAS,D,75
426,2,5,5.303,FEM,E,74
427,5,3,15.745,FEM,E,77
428,1,9,26.666,FEM,C3,74
429,2,1,7.555,FEM,D,75
430,1,8,43.151,MAS,C2,71
431,1,6,8.347,FEM,C3,77
432,1,10,30.24,FEM,D,78
433,11,1,4.992,FEM,D,81
434,1,7,10.872,FEM,C3,75
435,1,4,3.205,FEM,C3,75
436,2,6,3.686,MAS,E,74
437,1,9,24.41,MAS,D,74
438,1,12,91.893,MAS,ABC1,73
439,1,12,61.322,FEM,C3,75
440,1,8,23.16,FEM,ABC1,76
441,2,1,2.485,MAS,D,73
442,1,7,25.107,MAS,C2,72
443,1,6,22.922,FEM,E,77
444,1,12,25.156,MAS,C3,75
445,2,1,14.029,FEM,C3,78
446,1,9,33.081,MAS,D,76
447,1,10,28.178,FEM,C3,73
448,1,3,9.572,FEM,E,78
449,1,1,5.109,MAS,D,74
450,4,3,8.95,FEM,D,75
451,1,11,22.552,FEM,C2,80
452,1,8,26.576,MAS,C3,75
453,1,11,8.353,MAS,C3,77
454,1,1,17.517,MAS,E,76
455,1,9,15.126,FEM,ABC1,77
456,4,4,22.461,FEM,,78
457,2,6,9.491,FEM,ABC1,76
458,1,5,21.228,FEM,E,78
459,4,5,19.983,MAS,ABC1,69
460,1,12,17.67,MAS,C2,75
461,1,3,17.106,MAS,C3,76
462,2,9,13.127,MAS,D,74
463,3,5,8.833,FEM,C2,70
464,1,12,33.699,FEM,ABC1,72
465,1,7,14.375,FEM,D,78
466,3,1,2.635,FEM,D,78
467,1,11,8.623,MAS,D,74
468,1,11,8.653,FEM,C3,73
469,6,2,12.028,FEM,,75
470,1,11,29.799,MAS,ABC1,74
471,2,9,25.403,MAS,D,72
472,1,9,16.211,MAS,C3,70
473,1,4,21.205,MAS,C3,73
474,1,4,10.021,FEM,ABC1,74
475,1,12,22.673,MAS,D,73
476,2,7,6.13,FEM,C3,70
477,1,9,13.168,MAS,E,70
478,9,1,7.092,MAS,ABC1,74
479,1,2,13.894,MAS,C3,74
480,4,2,10.534,MAS,C3,65
481,1,9,29.158,FEM,C3,78
482,1,10,15.643,MAS,ABC1,75
483,1,7,16.036,FEM,E,74
484,1,9,15.23,MAS,C3,73
485,4,2,7.635,FEM,C3,75
486,1,10,12.723,MAS,C3,76
487,1,10,11.111,FEM,C3,71
488,7,1,17.525,FEM,D,70
489,1,8,53.739,FEM,ABC1,72
490,9,1,2.815,FEM,D,83
491,2,1,8.395,MAS,C3,75
492,1,4,26.036,FEM,C3,78
493,1,11,47.224,FEM,C3,77
494,1,11,28.315,MAS,C3,72
495,1,8,54.139,FEM,C3,67
496,9,2,4.683,MAS,C3,72
497,2,4,17.543,FEM,C3,78
498,1,10,7.262,MAS,E,75
499,4,1,2.933,FEM,C3,75
500,1,3,37.056,FEM,ABC1,71
501,1,8,14.711,MAS,D,76
502,9,2,13.733,FEM,ABC1,93
503,1,7,16.443,FEM,ABC1,76
504,6,3,4.195,MAS,C2,75
505,2,6,37.099,FEM,C2,74
506,7,3,15.457,MAS,C3,75
507,1,12,65.797,MAS,ABC1,78
508,1,2,7.178,MAS,C3,76
509,1,7,21.699,FEM,,
510,1,7,18.15,FEM,E,78
511,1,8,17.505,FEM,ABC1,78
512,1,12,10.41,MAS,D,74
513,1,10,6.335,MAS,C3,79
514,1,8,24.718,FEM,C3,78
515,1,3,8.412,MAS,ABC1,73
516,1,6,2.135,MAS,D,77
517,1,10,9.846,FEM,C3,76
518,1,5,17.699,MAS,C3,78
519,1,4,4.899,FEM,E,72
520,7,1,17.185,FEM,C3,80
521,1,12,88.526,FEM,E,72
522,1,2,10.968,MAS,C3,73
523,1,9,10.785,MAS,D,71
524,1,6,44.652,FEM,C3,74
525,2,4,30.378,FEM,C3,75
526,11,1,9.445,FEM,D,72
527,7,1,5.979,MAS,D,76
528,9,3,42.3,FEM,E,73
529,4,5,4.718,FEM,E,74
530,2,5,4.707,FEM,C3,75
531,1,12,13.452,MAS,D,73
532,1,8,18.291,MAS,D,73
533,9,2,3.625,FEM,D,78
534,2,7,4.438,FEM,C3,76
535,2,5,12.479,FEM,D,73
536,1,6,33.615,MAS,D,76
537,4,4,2.659,MAS,C3,70
538,1,12,15.872,MAS,ABC1,68
539,3,3,14.841,MAS,C2,71
540,2,7,13.231,FEM,E,76
541,1,7,5.336,MAS,C2,73
542,5,1,39.271,FEM,D,74
544,1,12,19.274,MAS,E,73
545,2,6,20.692,FEM,ABC1,73
546,1,11,57.056,FEM,C3,72
548,1,5,21.752,MAS,D,73
549,1,4,9.067,FEM,,80
550,1,4,13.854,MAS,C3,76
551,1,9,29.636,FEM,D,75
552,1,4,12.314,FEM,C3,77
553,5,4,13.808,FEM,C3,76
554,2,2,8.648,MAS,C3,73
555,2,2,26.7,MAS,C3,76
556,1,10,25.51,FEM,E,75
557,2,4,7.196,MAS,C2,74
558,4,1,6.874,MAS,D,72
559,8,3,20.015,MAS,C3,72
560,1,7,14.536,FEM,C3,76
561,1,5,12.176,MAS,C3,73
562,3,1,35.895,,C3,
563,1,11,34.438,MAS,E,73
564,1,10,78.412,FEM,ABC1,76
565,2,3,5.251,FEM,C3,75
566,1,5,2.33,FEM,C3,73
567,1,1,15.109,MAS,ABC1,72
568,6,1,7.109,MAS,ABC1,73
569,1,3,2.954,MAS,C2,75
570,2,2,4.343,MAS,ABC1,72
571,1,12,45.503,MAS,ABC1,75
572,1,4,5.567,MAS,ABC1,71
574,2,8,22.445,FEM,C3,66
575,1,2,2.726,MAS,D,76
576,1,12,27.25,MAS,C3,73
577,5,1,5.613,MAS,D,70
578,1,8,22.583,FEM,C3,75
579,1,5,18.173,FEM,,85
580,8,3,15.976,MAS,ABC1,72
581,12,1,28.298,MAS,D,71
582,1,8,14.186,MAS,ABC1,73
583,1,6,14.733,FEM,C3,77
584,1,8,89.936,MAS,ABC1,70
585,4,1,10.618,MAS,E,73
586,1,8,20.479,MAS,ABC1,69
587,1,7,22.849,FEM,C3,72
588,2,5,46.247,MAS,D,73
589,1,2,16.849,FEM,C3,77
590,1,11,34.056,FEM,C2,74
591,3,7,22.58,FEM,E,76
592,1,5,16.094,MAS,E,72
593,2,8,39.438,MAS,C3,73
594,1,12,72.041,MAS,C3,70
595,1,5,24.376,MAS,D,72
596,1,11,26.993,MAS,D,77
597,2,10,20.951,FEM,C3,74
598,1,5,20.969,MAS,C3,73
599,1,7,15.797,FEM,D,80
600,1,3,5.583,FEM,D,72
601,5,3,10.672,MAS,C3,78
602,3,2,13.499,MAS,D,76
603,1,11,16.965,MAS,E,74
604,1,12,53.387,MAS,C3,71
605,2,1,19.661,MAS,C2,75
606,2,10,39.541,MAS,C3,70
607,1,1,4.185,FEM,,73
608,5,4,33.499,FEM,ABC1,72
609,1,10,10.932,FEM,D,74
610,1,12,28.659,FEM,C2,79
611,2,6,18.115,FEM,,77
612,2,5,7.167,MAS,E,71
613,1,12,26.328,MAS,C3,71
614,3,5,17.166,FEM,C3,75
615,1,2,13.647,MAS,D,75
616,1,6,29.623,FEM,D,74
617,1,11,26.938,FEM,C3,82
618,1,8,29.013,FEM,C3,76
619,1,7,23.293,FEM,E,72
620,1,11,26.481,FEM,C3,73
621,4,2,10.701,,ABC1,
622,1,11,21.48,FEM,C3,72
623,1,7,41.2,FEM,C2,74
624,1,10,16.286,FEM,C3,75
625,1,6,7.828,FEM,C3,73
626,1,6,5.602,MAS,D,77
627,1,7,9.062,FEM,C3,74
628,1,5,37.194,MAS,C3,80
629,1,6,13.383,MAS,ABC1,77
630,4,5,5.114,MAS,ABC1,72
631,2,7,20.859,FEM,ABC1,75
632,1,4,18.322,MAS,D,75
633,1,12,10.086,MAS,D,75
634,1,1,1.084,FEM,E,74
635,1,9,58.062,FEM,E,75
636,10,1,8.387,FEM,ABC1,71
637,1,7,24.256,FEM,D,72
638,1,12,12.036,FEM,D,73
639,1,10,11.251,MAS,D,77
640,2,3,8.324,MAS,C3,74
641,12,1,14.059,MAS,C3,73
642,1,4,4.137,MAS,C3,75
643,2,5,57.501,FEM,ABC1,76
644,1,9,9.435,FEM,C3,76
645,1,12,52.604,MAS,C3,69
646,1,12,38.795,MAS,C3,75
647,1,12,30.636,MAS,ABC1,72
648,1,12,33.922,FEM,C3,70
649,3,3,12.836,MAS,C3,72
650,3,1,14.992,MAS,ABC1,62
651,1,11,18.029,MAS,C2,70
652,4,3,9.644,FEM,D,68
653,1,3,7.759,MAS,C3,74
654,1,7,23.171,FEM,D,79
655,1,3,14.771,FEM,E,75
656,1,4,16.338,FEM,C3,76
657,5,3,18.81,FEM,C3,69
658,1,9,25.231,MAS,ABC1,70
659,1,12,105.796,MAS,,71
660,11,2,8.854,MAS,C3,64
661,1,9,3.065,MAS,C2,72
662,1,6,19.089,MAS,C3,71
663,2,5,7.717,FEM,D,78
664,1,1,10.319,FEM,C3,73
665,2,9,96.666,FEM,C2,70
666,1,9,14.238,FEM,ABC1,71
667,1,11,27.112,MAS,C2,71
668,8,1,2.765,FEM,E,85
669,3,9,6.836,MAS,D,75
670,2,10,26.425,MAS,C3,73
671,1,6,10.858,FEM,D,73
672,3,4,10.965,FEM,C3,73
673,1,5,13.183,FEM,C3,76
675,1,11,43.68,MAS,ABC1,71
676,7,1,9.943,MAS,D,75
677,1,7,10.483,MAS,C3,71
678,1,8,23.353,MAS,C3,68
679,12,1,16.353,MAS,ABC1,72
680,1,7,18.129,FEM,C3,71
681,1,10,23.104,MAS,C3,73
682,4,3,5.136,MAS,C2,75
683,1,4,25.968,FEM,,72
684,4,4,9.977,MAS,ABC1,65
685,2,1,1.946,MAS,C3,73
686,2,4,13.497,FEM,C2,72
687,1,9,69.942,MAS,ABC1,70
688,1,4,9.218,MAS,E,70
689,3,1,7.555,FEM,D,75
690,2,2,8.447,FEM,E,77
691,1,3,21.124,MAS,ABC1,68
692,6,2,21.767,FEM,,74
693,1,10,11.04,MAS,D,72
694,3,6,11.717,FEM,C3,73
695,1,6,18.807,FEM,C3,71
696,1,5,18.207,MAS,D,73
697,1,9,33.969,MAS,D,69
698,1,11,21.73,MAS,C3,70
699,1,11,19.653,FEM,E,79
700,1,2,9.623,MAS,C3,71
701,1,9,12.913,MAS,C3,74
702,1,9,13.34,FEM,D,78
703,2,8,28.212,MAS,ABC1,68
704,1,11,34.487,FEM,C3,73
705,4,1,1.711,MAS,E,71
706,1,1,10.834,MAS,C3,74
707,4,5,21.496,MAS,C2,69
708,1,4,3.694,FEM,E,68
709,2,11,21.768,FEM,C3,72
710,2,2,16.428,FEM,C3,67
711,3,3,31.495,MAS,ABC1,71
712,1,7,78.372,FEM,C2,76
713,1,7,13.764,MAS,E,69
715,1,8,54.544,MAS,C3,72
716,1,11,27.199,FEM,C3,70
717,6,2,2.937,MAS,D,73
718,3,7,19.451,FEM,E,70
719,7,3,10.698,MAS,C3,71
720,1,7,25.499,FEM,ABC1,66
721,1,5,13.068,FEM,,71
723,2,1,0.794,MAS,D,76
724,2,4,6.588,FEM,C3,74
725,1,7,22.351,MAS,C3,71
726,4,5,27.939,FEM,D,76
727,1,11,19.747,FEM,E,79
728,2,2,13.736,MAS,C3,63
729,1,8,26.921,FEM,C3,76
730,1,3,15.397,FEM,E,77
731,3,6,8.923,MAS,C3,69
732,1,9,18.54,FEM,C3,68
733,1,11,104.837,FEM,C2,66
734,1,8,17.25,FEM,ABC1,76
735,1,3,16.594,MAS,C3,73
736,1,6,10.416,MAS,D,71
737,2,1,2.319,MAS,D,75
738,2,4,14.926,,C3,
740,2,6,22.623,FEM,D,73
741,1,3,20.287,MAS,D,73
742,1,5,21.89,MAS,C3,68
743,1,3,6.434,MAS,D,71
744,1,4,14.918,FEM,C3,71
745,2,2,3.922,MAS,E,73
746,1,4,9.231,FEM,D,73
747,3,3,27.701,MAS,D,69
748,1,1,1.506,MAS,C3,72
749,2,3,5.241,MAS,C3,67
750,1,9,4.763,FEM,C3,72
751,5,6,12.811,FEM,C3,71
752,6,1,2.874,FEM,C3,72
753,1,8,21.098,FEM,D,73
754,8,2,9.915,MAS,D,70
755,1,11,55.841,FEM,C3,70
